input,instruction,output
বন্ধুরা আমার চেয়ে দ্রুত উন্নতি করে—মনে খারাপ লাগে।,উন্নতির তুলনা কমানোর উপায় বলো।,নিজের শেখার পথ ধরে স্থিরভাবে এগোলে ব্যক্তিগত অগ্রগতি স্পষ্ট হয়।
"আশেপাশের সবাই বড় লক্ষ্য পূরণ করে, আমি পারি না মনে হয়।",বড় লক্ষ্য–তুলনা কমানোর পদ্ধতি দাও।,লক্ষ্যকে ছোট ধাপে ভাগ করলে এগোনো সহজ হয় ও তুলনার চাপ কমে।
"সহপাঠীরা স্মার্ট, আমি নিজেকে সাধারণ ভাবি।",স্মার্টনেস–তুলনা সামলানোর উপায় বলো।,নিজের শক্তিগুলো চিনে কাজে লাগালে আত্মবিশ্বাস বাড়ে।
অন্যদের কাজের গতি বেশি—আমি ধীর।,কাজের গতি নিয়ে তুলনা কমানোর উপায় দাও।,প্রতিদিন নির্দিষ্ট সময় ধরে কাজ করলে নিজের গতি উন্নত হয়।
সোশ্যাল মিডিয়ায় সবার জীবন সুন্দর মনে হয়—আমারটা নয়।,সোশ্যাল তুলনা কমানোর উপায় বলো।,বাস্তব জীবনে মনোযোগ দিলে ভার্চুয়াল চাপ কমে যায়।
"বন্ধুদের সম্পর্ক স্থির, আমারটা অস্থির।",সম্পর্ক–তুলনা কমানোর পরামর্শ দাও।,খোলামেলা আলাপ ও ধৈর্য রাখলে সম্পর্ক আরও স্থিতিশীল হয়।
"অন্যরা সহজে লক্ষ্য অর্জন করে, আমি পারি না।",লক্ষ্য–অর্জন তুলনা এড়ানোর উপায় বলো।,নিজের অগ্রগতি লিখে রাখলে উৎসাহ বজায় থাকে।
আমি প্রায়ই নিজেকে অকেজো ও হতাশ মনে করি।,হতাশা কাটিয়ে ওঠার জন্য প্রথম করণীয় কী?,"হতাশা অনুভব করলে নিজেকে সময় দাও, ছোট ছোট কাজ শুরু করো, এবং সৎ বন্ধু বা পরিবারের সঙ্গে কথা বলার চেষ্টা করো; প্রয়োজনে মানসিক চিকিৎসার সন্ধান করো।"
পড়াশোনায় ব্যর্থতা আমাকে হতাশ করেছে।,পড়াশোনায় হতাশা কাটিয়ে সামনে এগোনোর উপায় বলো।,"ভুল থেকে শিক্ষা নাও, নিজের ছোট সাফল্য উদযাপন করো, এবং নিয়মিত সময় ধরে পড়াশোনা করো; ধৈর্যসহ এগিয়ে গেলে হতাশা কমে।"
"দীর্ঘ সময় ধরে হতাশায় ভুগছি, জীবন মান নিয়ে চিন্তিত।",দীর্ঘস্থায়ী হতাশার বিরুদ্ধে কার্যকরী পদক্ষেপ দাও।,"নিয়মিত ধ্যান, মন odprlতা বৃদ্ধি এবং একজন পরামর্শদাতার সাহায্য নেওয়া প্রয়োজন, যা জীবনের গতি ফিরিয়ে আনবে।"
